_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6868316d77185453668bade8,,62.78,96.45,65.98,76.86,157;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1751658861000
6868314b77185453668bacfc,,66.39,97.67,67.59,67.24,166;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1751658827000
6868312877185453668babeb,,70,96.17,70,73.45,175;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1751658792000
68682e1677185453668b949b,,65.59,95.35,65.59,64.86,164;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1751658006000
68682df577185453668b93a6,,62.38,95.24,64.78,65.32,156;0;1;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1751657973000
68682dd277185453668b92ab,,65.59,97.63,65.59,72.7,164;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1751657938000
685ab9bf0af9eada72142dad,,58.39,89.94,58.39,56.92,146;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750776255000
685ab99b0af9eada72142bf0,,77.97,97.5,77.97,78.32,195;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750776219000
6852ea630af9eada72d09c08,,72.8,98.4,72.8,72.31,182;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750264419000
6852ea3c0af9eada72d09a1d,,71.6,97.41,76.4,71.43,179;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750264380000
6851b7fe0af9eada72c57b2a,,70,94.18,72.4,68.75,175;2;0;0,time,30,-1,1,30,0,5.7,false,false,english,,normal,false,false,false,,1750185982000
6851b7d40af9eada72c5798d,,71.17,95.74,72.77,76.72,178;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185940000
6851b7b30af9eada72c57843,,62.8,92.98,66.4,67.29,157;4;0;4,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185907000
6851b7920af9eada72c5770f,,61.2,91.95,63.2,69.68,153;3;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185874000
6851b76f0af9eada72c575c7,,65.59,93.44,68.39,72.78,164;0;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185839000
6851b74d0af9eada72c57492,,56,89.41,60.8,61.27,140;2;2;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185805000
6851b72d0af9eada72c57357,,59.2,89.66,69.2,65.41,148;11;2;1,time,30,-1,1,30,0,21.05,false,false,english,,normal,false,false,false,,1750185773000
6851b6f10af9eada72c57101,,75.18,98.43,75.18,77.98,188;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185713000
6851b6d00af9eada72c56fba,,70.79,97.25,70.79,71.79,177;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185680000
6851b6af0af9eada72c56e5f,,68.39,95.53,69.59,69.56,171;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185647000
6851b68e0af9eada72c56d19,,65.99,94.89,65.99,71.91,165;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185614000
6851b66b0af9eada72c56bd7,,56.4,89.63,60,56.82,141;2;1;1,time,30,-1,0,30,1,0,false,false,english,,normal,false,false,false,,1750185579000
6851b6480af9eada72c56a86,,77.19,97.52,79.19,80.47,193;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185544000
6851b6270af9eada72c56959,,60.39,92.44,65.19,71.19,151;3;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185511000
6851b6050af9eada72c56801,,71.2,94.33,74,70.2,178;3;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185477000
6851b5c10af9eada72c56572,,70.8,95.7,72.8,77.81,177;3;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185409000
